Shen_ID	Size_voxels	Yeo7_ID	Yeo1_vox	Yeo1_per	Yeo2_vox	Yeo2_per	Yeo3_vox	Yeo3_per	Yeo4_vox	Yeo4_per	Yeo5_vox	Yeo5_per	Yeo6_vox	Yeo6_per	Yeo7_vox	Yeo7_per	Zero_vox	Zero_per
248	4168	7	NaN	NaN	236	5.66218809980806	NaN	NaN	574	13.7715930902111	930	22.3128598848369	NaN	NaN	2195	52.6631477927063	233	5.59021113243762
249	4574	4	NaN	NaN	410	8.96370791429821	NaN	NaN	3470	75.8635767380848	NaN	NaN	65	1.42107564494972	512	11.1937035417578	117	2.55793616090949
250	5801	2	NaN	NaN	3479	59.9724185485261	NaN	NaN	1475	25.4266505774866	NaN	NaN	NaN	NaN	NaN	NaN	847	14.6009308739872
251	7053	1	5744	81.4405217637885	NaN	NaN	101	1.43201474549837	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1208	17.1274634907132
252	4821	7	NaN	NaN	NaN	NaN	NaN	NaN	6	0.124455507156192	NaN	NaN	5	0.10371292263016	4456	92.4289566479983	354	7.34287492221531
253	4062	6	309	7.60709010339734	NaN	NaN	7	0.17232890201871	NaN	NaN	NaN	NaN	1237	30.4529788281635	2352	57.9025110782866	157	3.86509108813392
254	3007	3	NaN	NaN	NaN	NaN	1378	45.826405054872	NaN	NaN	NaN	NaN	472	15.6967076820752	13	0.432324575989358	1144	38.0445626870635
255	2889	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52	1.79993077189339	2212	76.5662859120803	625	21.6337833160263
256	4171	9	256	6.13761687844642	NaN	NaN	15	0.35962598897147	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3900	93.5027571325821
257	4732	2	NaN	NaN	4146	87.6162299239222	NaN	NaN	NaN	NaN	NaN	NaN	2	0.0422654268808115	1	0.0211327134404057	583	12.3203719357566
258	4002	2	NaN	NaN	760	18.9905047476262	1662	41.5292353823088	1068	26.6866566716642	NaN	NaN	NaN	NaN	NaN	NaN	512	12.7936031984008
259	5074	2	NaN	NaN	3844	75.7587702010248	482	9.49940875049271	235	4.63145447378794	NaN	NaN	NaN	NaN	NaN	NaN	513	10.1103665746945
260	4941	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4941	100
261	4739	1	4149	87.5501160582401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	590	12.4498839417599
262	3065	7	NaN	NaN	NaN	NaN	NaN	NaN	30	0.978792822185971	NaN	NaN	508	16.5742251223491	2193	71.5497553017944	334	10.8972267536705
263	5907	6	NaN	NaN	NaN	NaN	NaN	NaN	1299	21.9908583037075	NaN	NaN	2079	35.195530726257	1767	29.9136617572372	762	12.8999492127984
264	1128	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1128	100
265	3665	8	6	0.163710777626194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3659	99.8362892223738
266	5760	2	NaN	NaN	4467	77.5520833333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1293	22.4479166666667
267	3363	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3363	100
268	4836	2	NaN	NaN	2956	61.1248966087676	NaN	NaN	1444	29.8593879239041	NaN	NaN	NaN	NaN	5	0.10339123242349	431	8.91232423490488
269	7022	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6009	85.5739105667901	NaN	NaN	NaN	NaN	1013	14.4260894332099
270	4501	8	62	1.37747167296156	NaN	NaN	107	2.37724950011109	NaN	NaN	49	1.08864696734059	NaN	NaN	186	4.13241501888469	4097	91.0242168407021
271	4674	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4401	94.1591784338896	273	5.8408215661104
272	5005	2	NaN	NaN	3296	65.8541458541459	NaN	NaN	1541	30.7892107892108	NaN	NaN	NaN	NaN	158	3.15684315684316	10	0.1998001998002
